Block,Strain,ID,Treatment,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
3,N2,105,ev,0,20,33,33,35,32,24,23,10,1
3,N2,106,ev,0,31,62,67,61,53,30,6,1,0
3,N2,107,ev,0,26,30,22,15,13,13,8,7,8
3,N2,108,daf,4,37,60,67,43,20,4,1,0,0
3,N2,109,daf,3,20,32,24,20,12,0,8,NA,NA
3,N2,110,ev,0,25,53,61,49,22,9,0,0,0
3,N2,111,daf,0,26,34,34,47,36,33,16,7,0
3,N2,112,ev,0,28,37,48,57,39,4,2,NA,NA
3,N2,113,ev,0,26,50,62,68,38,4,0,1,0
3,N2,114,ev,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,N2,115,ev,4,38,60,71,62,20,NA,NA,NA,NA
3,N2,116,ev,0,30,58,72,49,20,2,0,1,0
3,N2,117,ev,1,27,40,49,60,54,27,1,2,0
3,N2,118,daf,0,41,67,62,61,36,19,5,0,1
3,N2,119,ev,2,32,33,27,31,36,31,25,10,1
3,N2,120,daf,1,28,59,58,60,36,13,0,0,0
3,N2,121,daf,0,37,51,60,66,53,26,13,5,1
3,N2,122,daf,1,31,35,35,37,33,21,12,8,4
3,N2,123,daf,0,25,27,26,34,36,32,12,11,5
3,N2,124,ev,0,34,56,73,65,17,0,0,1,0
