Plate.ID,Worm,Strain,Treatment,Death.Date,Cause ,D1,Age ,Event,Exp
6,2,SKN,EV,28-Apr,M,14-Apr,14,1,0
6,3,SKN,EV,1-May,M,14-Apr,17,1,0
6,4,SKN,EV,1-May,M,14-Apr,17,1,0
6,5,SKN,EV,2-May,M,14-Apr,18,1,0
6,6,SKN,EV,4-May,M,14-Apr,20,1,0
6,7,SKN,EV,7-May,M,14-Apr,23,1,0
6,8,SKN,EV,10-May,D,14-Apr,26,1,0
6,9,SKN,EV,15-May,D,14-Apr,31,1,0
6,10,SKN,EV,16-May,D,14-Apr,32,1,0
7,1,SKN,DAF-2,24-Apr,M,14-Apr,10,1,0
7,2,SKN,DAF-2,25-Apr,M,14-Apr,11,1,0
7,3,SKN,DAF-2,28-Apr,L,14-Apr,14,0,0
7,4,SKN,DAF-2,28-Apr,M,14-Apr,14,1,0
7,5,SKN,DAF-2,1-May,M,14-Apr,17,1,0
7,6,SKN,DAF-2,2-May,M,14-Apr,18,1,0
7,7,SKN,DAF-2,2-May,M,14-Apr,18,1,0
7,8,SKN,DAF-2,17-May,D,14-Apr,33,1,0
7,9,SKN,DAF-2,21-May,D,14-Apr,37,1,0
7,10,SKN,DAF-2,28-May,D,14-Apr,44,1,0
8,1,SKN,EV,25-Apr,M,14-Apr,11,1,0
8,2,SKN,EV,27-Apr,M,14-Apr,13,1,0
8,3,SKN,EV,27-Apr,M,14-Apr,13,1,0
8,4,SKN,EV,29-Apr,M,14-Apr,15,1,0
8,5,SKN,EV,30-Apr,M,14-Apr,16,1,0
8,6,SKN,EV,1-May,M,14-Apr,17,1,0
8,7,SKN,EV,8-May,M,14-Apr,24,1,0
8,8,SKN,EV,10-May,D,14-Apr,26,1,0
8,9,SKN,EV,13-May,D,14-Apr,29,1,0
8,10,SKN,EV,13-May,D,14-Apr,29,1,0
9,1,SKN,EV,23-Apr,M,14-Apr,9,1,0
9,2,SKN,EV,27-Apr,M,14-Apr,13,1,0
9,3,SKN,EV,29-Apr,M,14-Apr,15,1,0
9,4,SKN,EV,1-May,M,14-Apr,17,1,0
9,5,SKN,EV,2-May,M,14-Apr,18,1,0
9,6,SKN,EV,2-May,L,14-Apr,18,0,0
9,7,SKN,EV,4-May,M,14-Apr,20,1,0
9,8,SKN,EV,7-May,D,14-Apr,23,1,0
9,9,SKN,EV,11-May,D,14-Apr,27,1,0
9,10,SKN,EV,16-May,D,14-Apr,32,1,0
10,1,SKN,EV,24-Apr,M,14-Apr,10,1,0
10,2,SKN,EV,29-Apr,M,14-Apr,15,1,0
10,3,SKN,EV,2-May,M,14-Apr,18,1,0
10,4,SKN,EV,2-May,L,14-Apr,18,0,0
10,5,SKN,EV,3-May,M,14-Apr,19,1,0
10,6,SKN,EV,3-May,D,14-Apr,19,1,0
10,7,SKN,EV,8-May,M,14-Apr,24,1,0
10,8,SKN,EV,11-May,D,14-Apr,27,1,0
10,9,SKN,EV,12-May,D,14-Apr,28,1,0
10,10,SKN,EV,17-May,D,14-Apr,33,1,0
11,1,SKN,DAF-2,25-Apr,L,14-Apr,11,0,0
11,2,SKN,DAF-2,29-Apr,M,14-Apr,15,1,0
11,3,SKN,DAF-2,30-Apr,M,14-Apr,16,1,0
11,4,SKN,DAF-2,5-May,M,14-Apr,21,1,0
11,5,SKN,DAF-2,10-May,E,14-Apr,26,0,1
11,6,SKN,DAF-2,13-May,L,14-Apr,29,0,0
11,7,SKN,DAF-2,21-May,D,14-Apr,37,1,0
11,8,SKN,DAF-2,22-May,D,14-Apr,38,1,0
11,9,SKN,DAF-2,28-May,D,14-Apr,44,1,0
11,10,SKN,DAF-2,9-Jun,D,14-Apr,56,1,0
12,1,SKN,DAF-2,25-Apr,M,14-Apr,11,1,0
12,2,SKN,DAF-2,26-Apr,M,14-Apr,12,1,0
12,3,SKN,DAF-2,26-Apr,M,14-Apr,12,1,0
12,4,SKN,DAF-2,28-Apr,M,14-Apr,14,1,0
12,5,SKN,DAF-2,28-Apr,M,14-Apr,14,1,0
12,6,SKN,DAF-2,3-May,M,14-Apr,19,1,0
12,7,SKN,DAF-2,5-May,M,14-Apr,21,1,0
12,8,SKN,DAF-2,10-May,D,14-Apr,26,1,0
